Sample in Buffer,Sample in Window,TRIGGER,O_Mipi_CSI_Byte_Lane0_Data[7:0],O_Mipi_CSI_Byte_Lane1_Data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
792,792,0,50,13
793,793,0,50,40
794,794,0,41,00
795,795,0,05,01
796,796,0,15,04
797,797,0,54,10
798,798,0,50,40
799,799,0,41,00
800,800,0,05,01
801,801,0,15,04
802,802,0,54,10
803,803,0,50,10
804,804,0,e0,54
805,805,0,81,50
806,806,0,07,41
807,807,0,1e,05
808,808,0,78,15
809,809,0,e0,54
810,810,0,81,50
811,811,0,07,41
812,812,0,1e,05
813,813,0,78,15
814,814,0,e0,54
815,815,0,81,50
816,816,0,3b,50
817,817,0,e1,40
818,818,0,84,01
819,819,0,13,05
820,820,0,4e,14
821,821,0,38,50
822,822,0,e1,40
823,823,0,84,01
824,824,0,13,05
825,825,0,4e,14
826,826,0,38,50
827,827,0,01,e0
828,828,0,01,8e
829,829,0,04,3b
830,830,0,10,ee
831,831,0,40,b8
832,832,0,00,e3
833,833,0,01,8e
834,834,0,04,3b
835,835,0,10,ee
836,836,0,40,b8
837,837,0,00,e3
838,838,0,41,4e
839,839,0,41,00
840,840,0,05,01
841,841,0,15,04
842,842,0,54,10
843,843,0,50,40
844,844,0,41,00
845,845,0,05,01
846,846,0,15,04
847,847,0,54,10
848,848,0,50,40
849,849,0,41,00
850,850,0,05,01
851,851,0,05,41
852,852,0,1e,05
853,853,0,78,15
854,854,0,e0,54
855,855,0,81,50
856,856,0,07,41
857,857,0,1e,05
858,858,0,78,15
859,859,0,e0,54
860,860,0,81,50
861,861,0,07,41
862,862,0,ee,41
863,863,0,84,01
864,864,0,13,05
865,865,0,4e,14
866,866,0,38,50
867,867,0,e1,40
868,868,0,84,01
869,869,0,13,05
870,870,0,4e,14
871,871,0,38,50
872,872,0,e1,40
873,873,0,04,81
874,874,0,04,2b
875,875,0,10,ae
876,876,0,40,b8
877,877,0,00,e2
878,878,0,01,8a
879,879,0,04,2b
880,880,0,10,ae
881,881,0,40,b8
882,882,0,00,e2
883,883,0,01,8a
884,884,0,04,2b
885,885,0,10,ae
886,886,0,14,04
887,887,0,54,10
888,888,0,50,40
889,889,0,41,00
890,890,0,05,01
891,891,0,15,04
892,892,0,54,10
893,893,0,50,40
894,894,0,41,00
895,895,0,05,01
896,896,0,15,04
897,897,0,14,04
898,898,0,78,15
899,899,0,e0,54
900,900,0,81,50
901,901,0,07,41
902,902,0,1e,05
903,903,0,78,15
904,904,0,e0,54
905,905,0,81,50
906,906,0,07,41
907,907,0,1e,05
908,908,0,b8,05
909,909,0,13,05
910,910,0,4e,14
911,911,0,38,50
912,912,0,e1,40
913,913,0,84,01
914,914,0,13,05
915,915,0,4e,14
916,916,0,38,50
917,917,0,e1,40
918,918,0,84,01
919,919,0,13,05
920,920,0,4e,14
921,921,0,40,b8
922,922,0,00,e3
923,923,0,01,8e
924,924,0,04,3b
925,925,0,10,ee
926,926,0,40,b8
927,927,0,00,e3
928,928,0,01,8e
929,929,0,04,3b
930,930,0,10,ee
931,931,0,40,b8
932,932,0,50,13
933,933,0,50,40
934,934,0,41,00
935,935,0,05,01
936,936,0,15,04
937,937,0,54,10
938,938,0,50,40
939,939,0,41,00
940,940,0,05,01
941,941,0,15,04
942,942,0,54,10
943,943,0,50,10
944,944,0,e0,54
945,945,0,81,50
946,946,0,07,41
947,947,0,1e,05
948,948,0,78,15
949,949,0,e0,54
950,950,0,81,50
951,951,0,07,41
952,952,0,1e,05
953,953,0,78,15
954,954,0,e0,54
955,955,0,81,50
956,956,0,3b,50
957,957,0,e1,40
958,958,0,84,01
959,959,0,13,05
960,960,0,4e,14
961,961,0,38,50
962,962,0,e1,40
963,963,0,84,01
964,964,0,13,05
965,965,0,4e,14
966,966,0,38,50
967,967,0,01,e0
968,968,0,01,8e
969,969,0,04,3b
970,970,0,10,ee
971,971,0,40,b8
972,972,0,00,e3
973,973,0,01,8e
974,974,0,04,3b
975,975,0,10,ee
976,976,0,40,b8
977,977,0,00,e3
978,978,0,41,4e
979,979,0,41,00
980,980,0,05,01
981,981,0,15,04
982,982,0,54,10
983,983,0,50,40
984,984,0,41,00
985,985,0,05,01
986,986,0,15,04
987,987,0,54,10
988,988,0,50,40
989,989,0,41,00
990,990,0,05,01
991,991,0,05,41
992,992,0,1e,05
993,993,0,78,15
994,994,0,e0,54
995,995,0,81,50
996,996,0,07,41
997,997,0,1e,05
998,998,0,78,15
999,999,0,e0,54
1000,1000,0,81,50
1001,1001,0,07,41
1002,1002,0,ee,41
1003,1003,0,84,01
1004,1004,0,13,05
1005,1005,0,4e,14
1006,1006,0,38,50
1007,1007,0,e1,40
1008,1008,0,84,01
1009,1009,0,13,05
1010,1010,0,4e,14
1011,1011,0,38,50
1012,1012,0,e1,40
1013,1013,0,04,81
1014,1014,0,04,3b
1015,1015,0,10,ee
1016,1016,0,40,b8
1017,1017,0,00,e3
1018,1018,0,01,8e
1019,1019,0,04,3b
1020,1020,0,10,ee
1021,1021,0,40,b8
1022,1022,0,00,e3
1023,1023,0,01,8e
1024,1024,0,04,3b
1025,1025,0,10,ee
1026,1026,0,14,04
1027,1027,0,54,10
1028,1028,0,50,40
1029,1029,0,41,00
1030,1030,0,05,01
1031,1031,0,15,04
1032,1032,0,54,10
1033,1033,0,50,40
1034,1034,0,41,00
1035,1035,0,05,01
1036,1036,0,15,04
1037,1037,0,14,04
1038,1038,0,78,12
1039,1039,0,e0,48
1040,1040,0,81,20
1041,1041,0,07,81
1042,1042,0,1e,04
1043,1043,0,78,12
1044,1044,0,e0,48
1045,1045,0,81,20
1046,1046,0,07,81
1047,1047,0,1e,04
1048,1048,0,b8,02
1049,1049,0,0b,04
1050,1050,0,2e,10
1051,1051,0,b8,40
1052,1052,0,e0,00
1053,1053,0,82,01
1054,1054,0,0b,04
1055,1055,0,2e,10
1056,1056,0,b8,40
1057,1057,0,e0,00
1058,1058,0,82,01
1059,1059,0,0b,04
1060,1060,0,2e,10
1061,1061,0,20,28
1062,1062,0,80,a1
1063,1063,0,00,84
1064,1064,0,02,12
1065,1065,0,08,4a
1066,1066,0,20,28
1067,1067,0,80,a1
1068,1068,0,00,84
1069,1069,0,02,12
1070,1070,0,08,4a
1071,1071,0,20,28
1072,1072,0,50,11
1073,1073,0,50,40
1074,1074,0,41,00
1075,1075,0,05,01
1076,1076,0,15,04
1077,1077,0,54,10
1078,1078,0,50,40
1079,1079,0,41,00
1080,1080,0,05,01
1081,1081,0,15,04
1082,1082,0,54,10
1083,1083,0,50,10
1084,1084,0,e0,54
1085,1085,0,81,50
1086,1086,0,07,41
1087,1087,0,1e,05
1088,1088,0,78,15
1089,1089,0,e0,54
1090,1090,0,81,50
1091,1091,0,07,41
1092,1092,0,1e,05
1093,1093,0,78,15
1094,1094,0,e0,54
1095,1095,0,81,50
1096,1096,0,3b,50
1097,1097,0,e1,40
1098,1098,0,84,01
1099,1099,0,13,05
1100,1100,0,4e,14
1101,1101,0,38,50
1102,1102,0,e1,40
1103,1103,0,84,01
1104,1104,0,13,05
1105,1105,0,4e,14
1106,1106,0,38,50
1107,1107,0,01,e0
1108,1108,0,01,8e
1109,1109,0,04,3b
1110,1110,0,10,ee
1111,1111,0,40,b8
1112,1112,0,00,e3
1113,1113,0,01,8e
1114,1114,0,04,3b
1115,1115,0,10,ee
1116,1116,0,40,b8
1117,1117,0,00,e3
1118,1118,0,41,4e
1119,1119,0,41,00
1120,1120,0,05,01
1121,1121,0,15,04
1122,1122,0,54,10
1123,1123,0,50,40
1124,1124,0,41,00
1125,1125,0,05,01
1126,1126,0,15,04
1127,1127,0,54,10
1128,1128,0,50,40
1129,1129,0,41,00
1130,1130,0,05,01
1131,1131,0,05,41
1132,1132,0,1d,05
1133,1133,0,74,15
1134,1134,0,d0,54
1135,1135,0,41,50
1136,1136,0,07,41
1137,1137,0,1d,05
1138,1138,0,74,15
1139,1139,0,d0,54
1140,1140,0,41,50
1141,1141,0,07,41
1142,1142,0,ed,41
1143,1143,0,84,01
1144,1144,0,13,05
1145,1145,0,4e,14
1146,1146,0,38,50
1147,1147,0,e1,40
1148,1148,0,84,01
1149,1149,0,13,05
1150,1150,0,4e,14
1151,1151,0,38,50
1152,1152,0,e1,40
1153,1153,0,04,81
1154,1154,0,04,3b
1155,1155,0,10,ee
1156,1156,0,40,b8
1157,1157,0,00,e3
1158,1158,0,01,8e
1159,1159,0,04,3b
1160,1160,0,10,ee
1161,1161,0,40,b8
1162,1162,0,00,e3
1163,1163,0,01,8e
1164,1164,0,04,3b
1165,1165,0,10,ee
1166,1166,0,14,04
1167,1167,0,54,12
1168,1168,0,50,48
1169,1169,0,41,20
1170,1170,0,05,81
1171,1171,0,15,04
1172,1172,0,54,12
1173,1173,0,50,48
1174,1174,0,41,20
1175,1175,0,05,81
1176,1176,0,15,04
1177,1177,0,14,02
1178,1178,0,78,05
1179,1179,0,e0,14
1180,1180,0,81,50
1181,1181,0,07,40
1182,1182,0,1e,01
1183,1183,0,78,05
1184,1184,0,e0,14
1185,1185,0,81,50
1186,1186,0,07,40
1187,1187,0,1e,01
1188,1188,0,78,05
1189,1189,0,12,05
1190,1190,0,49,14
1191,1191,0,24,50
1192,1192,0,91,40
1193,1193,0,44,01
1194,1194,0,12,05
1195,1195,0,49,14
1196,1196,0,24,50
1197,1197,0,91,40
1198,1198,0,44,01
1199,1199,0,12,05
1200,1200,0,49,14
1201,1201,0,40,b8
1202,1202,0,00,e3
1203,1203,0,01,8e
1204,1204,0,04,3b
1205,1205,0,10,ee
1206,1206,0,40,b8
1207,1207,0,00,e3
1208,1208,0,01,8e
1209,1209,0,04,3b
1210,1210,0,10,ee
1211,1211,0,40,b8
1212,1212,0,50,13
1213,1213,0,50,40
1214,1214,0,41,00
1215,1215,0,05,01
1216,1216,0,15,04
1217,1217,0,54,10
1218,1218,0,50,40
1219,1219,0,41,00
1220,1220,0,05,01
1221,1221,0,15,04
1222,1222,0,54,10
1223,1223,0,50,10
1224,1224,0,e0,40
1225,1225,0,81,00
1226,1226,0,07,01
1227,1227,0,1e,04
1228,1228,0,78,10
1229,1229,0,e0,40
1230,1230,0,81,00
1231,1231,0,07,01
1232,1232,0,1e,04
1233,1233,0,78,10
1234,1234,0,e0,40
1235,1235,0,81,00
1236,1236,0,3b,50
1237,1237,0,e0,40
1238,1238,0,80,01
1239,1239,0,03,05
1240,1240,0,0e,14
1241,1241,0,38,50
1242,1242,0,e0,40
1243,1243,0,80,01
1244,1244,0,03,05
1245,1245,0,0e,14
1246,1246,0,38,50
1247,1247,0,80,00
1248,1248,0,00,0c
1249,1249,0,02,30
1250,1250,0,08,c0
1251,1251,0,20,00
1252,1252,0,80,03
1253,1253,0,00,0c
1254,1254,0,02,30
1255,1255,0,08,c0
1256,1256,0,20,00
1257,1257,0,80,03
1258,1258,0,40,4c
1259,1259,0,41,00
1260,1260,0,05,01
1261,1261,0,15,04
1262,1262,0,54,10
1263,1263,0,50,40
1264,1264,0,41,00
1265,1265,0,05,01
1266,1266,0,15,04
1267,1267,0,54,10
1268,1268,0,50,40
1269,1269,0,41,00
1270,1270,0,05,01
1271,1271,0,05,01
1272,1272,0,1e,04
1273,1273,0,78,10
1274,1274,0,e0,40
1275,1275,0,81,00
1276,1276,0,07,01
1277,1277,0,1e,04
1278,1278,0,78,10
1279,1279,0,e0,40
1280,1280,0,81,00
1281,1281,0,07,01
1282,1282,0,ee,00
1283,1283,0,80,00
1284,1284,0,03,00
1285,1285,0,0e,00
1286,1286,0,38,00
1287,1287,0,e0,00
1288,1288,0,80,00
1289,1289,0,03,00
1290,1290,0,0e,00
1291,1291,0,38,00
1292,1292,0,e0,00
1293,1293,0,00,c0
1294,1294,0,01,00
1295,1295,0,04,03
1296,1296,0,10,0c
1297,1297,0,40,30
1298,1298,0,00,c0
1299,1299,0,01,00
1300,1300,0,04,03
1301,1301,0,10,0c
