Sample in Buffer,Sample in Window,TRIGGER,lane0_byte_data[7:0],lane1_byte_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
287,287,0,ff,00
288,288,0,ff,00
289,289,0,ff,00
290,290,0,ff,00
291,291,0,ff,00
292,292,0,ff,00
293,293,0,ff,00
294,294,0,ff,00
295,295,0,ff,00
296,296,0,ff,00
297,297,0,ff,00
298,298,0,ff,00
299,299,0,ff,00
300,300,0,ff,00
301,301,0,ff,00
302,302,0,ff,00
303,303,0,ff,00
304,304,0,ff,00
305,305,0,ff,00
306,306,0,ff,00
307,307,0,ff,00
308,308,0,ff,00
309,309,0,ff,00
310,310,0,ff,00
311,311,0,ff,00
312,312,0,ff,00
313,313,0,ff,00
314,314,0,ff,00
315,315,0,ff,00
316,316,0,ff,00
317,317,0,ff,00
318,318,0,ff,00
319,319,0,ff,00
320,320,0,ff,00
321,321,0,ff,00
322,322,0,ff,00
323,323,0,ff,00
324,324,0,ff,00
325,325,0,ff,00
326,326,0,ff,00
327,327,0,ff,00
328,328,0,ff,00
329,329,0,ff,00
330,330,0,ff,00
331,331,0,ff,00
332,332,0,ff,00
333,333,0,ff,00
334,334,0,ff,00
335,335,0,ff,00
336,336,0,ff,00
337,337,0,ff,00
338,338,0,ff,00
339,339,0,ff,00
340,340,0,ff,00
341,341,0,ff,00
342,342,0,ff,00
343,343,0,ff,00
344,344,0,ff,00
345,345,0,ff,00
346,346,0,ff,00
347,347,0,ff,00
348,348,0,ff,00
349,349,0,ff,00
350,350,0,ff,00
351,351,0,ff,00
352,352,0,ff,00
353,353,0,ff,00
354,354,0,ff,00
355,355,0,ff,00
356,356,0,ff,00
357,357,0,ff,00
358,358,0,ff,00
359,359,0,ff,00
360,360,0,ff,00
361,361,0,ff,00
362,362,0,ff,00
363,363,0,ff,00
364,364,0,ff,00
365,365,0,ff,00
366,366,0,ff,00
367,367,0,ff,00
368,368,0,ff,00
369,369,0,ff,00
370,370,0,ff,00
371,371,0,ff,00
372,372,0,ff,00
373,373,0,ff,00
374,374,0,ff,00
375,375,0,ff,00
376,376,0,ff,00
377,377,0,ff,00
378,378,0,ff,00
379,379,0,ff,00
380,380,0,ff,00
381,381,0,ff,00
382,382,0,ff,00
383,383,0,ff,00
384,384,0,ff,00
385,385,0,ff,00
386,386,0,ff,00
387,387,0,ff,00
388,388,0,ff,00
389,389,0,ff,00
390,390,0,ff,00
391,391,0,ff,00
392,392,0,ff,00
393,393,0,ff,00
394,394,0,ff,00
395,395,0,ff,00
396,396,0,ff,00
397,397,0,ff,00
398,398,0,ff,00
399,399,0,ff,00
400,400,0,ff,00
401,401,0,ff,00
402,402,0,ff,00
403,403,0,ff,00
404,404,0,ff,00
405,405,0,ff,00
406,406,0,ff,00
407,407,0,ff,00
408,408,0,ff,00
409,409,0,ff,00
410,410,0,ff,00
411,411,0,ff,00
412,412,0,ff,00
413,413,0,ff,00
414,414,0,ff,00
415,415,0,ff,00
416,416,0,ff,00
417,417,0,ff,00
418,418,0,ff,00
419,419,0,ff,00
420,420,0,ff,00
421,421,0,ff,00
422,422,0,ff,00
423,423,0,ff,00
424,424,0,ff,00
425,425,0,ff,00
426,426,0,ff,00
427,427,0,ff,00
428,428,0,ff,00
429,429,0,ff,00
430,430,0,ff,00
431,431,0,ff,00
432,432,0,ff,00
433,433,0,ff,00
434,434,0,ff,00
435,435,0,ff,00
436,436,0,ff,00
437,437,0,ff,00
438,438,0,ff,00
439,439,0,ff,00
440,440,0,ff,00
441,441,0,ff,00
442,442,0,ff,00
443,443,0,ff,00
444,444,0,ff,00
445,445,0,ff,00
446,446,0,ff,00
447,447,0,ff,00
448,448,0,ff,00
449,449,0,ff,00
450,450,0,ff,00
451,451,0,ff,00
452,452,0,ff,00
453,453,0,ff,00
454,454,0,ff,00
455,455,0,ff,00
456,456,0,ff,00
457,457,0,ff,00
458,458,0,ff,00
459,459,0,ff,00
460,460,0,ff,00
461,461,0,ff,00
462,462,0,ff,00
463,463,0,ff,00
464,464,0,ff,00
465,465,0,ff,00
466,466,0,ff,00
467,467,0,ff,00
468,468,0,ff,00
469,469,0,ff,00
470,470,0,ff,00
471,471,0,ff,00
472,472,0,ff,00
473,473,0,ff,00
474,474,0,ff,00
475,475,0,ff,00
476,476,0,ff,00
477,477,0,ff,00
478,478,0,ff,00
479,479,0,ff,00
480,480,0,ff,00
481,481,0,ff,00
482,482,0,ff,00
483,483,0,ff,00
484,484,0,ff,00
485,485,0,ff,00
486,486,0,ff,00
487,487,0,ff,00
488,488,0,ff,00
489,489,0,ff,00
490,490,0,ff,00
491,491,0,ff,00
492,492,0,ff,00
493,493,0,ff,00
494,494,0,ff,00
495,495,0,ff,00
496,496,0,ff,00
497,497,0,ff,00
498,498,0,ff,00
499,499,0,ff,00
500,500,0,ff,00
501,501,0,ff,00
502,502,0,ff,00
503,503,0,ff,00
504,504,0,ff,00
505,505,0,ff,00
506,506,0,ff,00
507,507,0,ff,00
508,508,0,ff,00
509,509,0,ff,00
510,510,0,ff,00
511,511,0,ff,00
512,512,0,ff,00
513,513,0,ff,00
514,514,0,ff,00
515,515,0,ff,00
516,516,0,ff,00
517,517,0,ff,00
518,518,0,ff,00
519,519,0,ff,00
520,520,0,ff,00
521,521,0,ff,00
522,522,0,ff,00
523,523,0,ff,00
524,524,0,ff,00
525,525,0,ff,00
526,526,0,ff,00
527,527,0,ff,00
528,528,0,ff,00
529,529,0,ff,00
530,530,0,ff,00
531,531,0,ff,00
532,532,0,ff,00
533,533,0,ff,00
534,534,0,ff,00
535,535,0,ff,00
536,536,0,ff,00
537,537,0,ff,00
538,538,0,ff,00
539,539,0,ff,00
540,540,0,ff,00
541,541,0,ff,00
542,542,0,ff,00
543,543,0,ff,00
544,544,0,ff,00
545,545,0,ff,00
546,546,0,ff,00
547,547,0,ff,00
548,548,0,ff,00
549,549,0,ff,00
550,550,0,ff,00
551,551,0,ff,00
552,552,0,ff,00
553,553,0,ff,00
554,554,0,ff,00
555,555,0,ff,00
556,556,0,ff,00
557,557,0,3f,00
558,558,0,00,00
559,559,0,00,00
560,560,0,00,00
561,561,0,00,00
562,562,0,00,00
563,563,0,00,00
564,564,0,00,00
565,565,0,00,00
566,566,0,00,00
567,567,0,00,00
568,568,0,00,00
569,569,0,00,00
570,570,0,b8,b8
571,571,0,02,4d
572,572,0,00,3d
573,573,0,ff,ff
574,574,0,ff,ff
575,575,0,ff,ff
576,576,0,ff,ff
577,577,0,ff,06
578,578,0,ff,00
579,579,0,ff,00
580,580,0,ff,00
581,581,0,ff,00
582,582,0,ff,00
583,583,0,ff,00
584,584,0,ff,00
585,585,0,03,00
586,586,0,00,00
587,587,0,00,00
588,588,0,00,00
589,589,0,00,00
590,590,0,00,00
591,591,0,00,00
592,592,0,00,00
593,593,0,00,00
594,594,0,00,00
595,595,0,00,00
596,596,0,00,00
597,597,0,80,80
598,598,0,bb,0b
599,599,0,92,d6
600,600,0,c0,f1
601,601,0,73,b3
602,602,0,74,e3
603,603,0,49,e3
604,604,0,b4,33
605,605,0,93,d3
606,606,0,13,f3
607,607,0,d4,03
608,608,0,2e,e4
609,609,0,04,93
610,610,0,e4,a7
611,611,0,f3,03
612,612,0,73,f4
613,613,0,27,c3
614,614,0,04,a3
615,615,0,14,f8
616,616,0,34,63
617,617,0,c4,24
618,618,0,f5,f4
619,619,0,43,93
620,620,0,34,db
621,621,0,b4,13
622,622,0,93,34
623,623,0,fd,d4
